"location","property_count","avg_total_price","avg_price_per_sqft"
"Kankurgachi Kolkata","100","25000000","14925"
"Rajarhat Kolkata","100","16000000","14035"
"Multicon Estelle","100","22500000","13958"
"Classic Tower","100","15000000","13393"
"Sugam Morya","100","23800000","12865"
"Ballygunge Kolkata","200","9500000","11780"
"Urban Heights","100","12500000","10073"
"Golf Towers","100","8500000","9965"
"Meena Florence","100","3700000","9585"
"Vip Road Kolkata","77","5500000","9483"
